"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
4/02/2017,21,ABI
4/02/2016,79,ABE
4/02/2015,102,ABI
4/02/2014,21,ABI
4/01/2017,62,ABI
4/01/2016,66,ABE
4/01/2014,13,BTM
31/12/2016,2,NULL
31/12/2015,25,ABE
31/12/2014,72,ABI
31/12/2013,5,CWA
31/10/2016,71,ABI
31/10/2015,22,ORH
31/10/2014,96,ABE
31/10/2013,9,CWA
31/08/2016,92,ABE
31/08/2015,74,ABE
31/07/2017,93,ABE
31/07/2015,43,ABI
31/07/2014,59,ABE
31/07/2013,5,DEN
31/05/2017,81,ABE
31/05/2016,118,ABE
31/05/2015,2,GPT
31/05/2014,23,DAL
31/05/2013,1,GSP
31/03/2017,59,ABE
31/03/2016,73,ABI
31/03/2015,109,ABE
31/03/2014,15,RDU
31/01/2017,57,ABE
31/01/2015,16,GSP
31/01/2014,12,ABI
30/12/2016,31,ABE
30/12/2015,75,ABE
30/12/2014,74,ABE
30/12/2013,8,ABI
30/11/2016,18,LIT
30/11/2015,41,MAF
30/11/2013,9,MSY
30/10/2015,53,ABE
30/10/2014,114,ABI
30/10/2013,6,ABI
30/09/2016,62,ABI
30/09/2015,83,ABE
30/09/2014,77,ABI
30/09/2013,8,DVL
30/08/2016,93,ABE
30/08/2014,9,DFW
30/08/2013,5,RST
30/07/2016,14,MTJ
30/07/2015,88,ABE
30/07/2014,63,ABE
30/07/2013,3,DFW
30/06/2017,55,ABI
30/06/2016,63,ROC
30/06/2015,87,JAC
30/06/2014,30,ABE
30/05/2017,66,ABE
30/05/2016,1,RDM
30/05/2015,20,PNS
30/05/2014,36,ABI
30/05/2013,1,ESC
30/04/2016,21,LFT
30/04/2015,109,ABE
30/04/2014,44,ABE
30/04/2013,1,GRR
30/03/2017,73,ABE
30/03/2016,89,ABI
30/03/2015,76,ABI
30/03/2014,1,
30/01/2017,56,ABE
30/01/2016,17,ABI
30/01/2015,45,ABE
30/01/2014,30,ABI
3/12/2016,6,RDM
3/12/2015,111,ABE
3/12/2014,88,ABE
3/12/2013,16,PPG
3/11/2016,110,ABE
3/10/2016,91,ABE
3/10/2015,11,ABI
3/10/2014,50,ABI
3/10/2013,18,PIH
3/09/2016,3,SJT
3/09/2015,86,BNA
3/09/2014,59,ABI
3/09/2013,3,SPS
3/08/2017,94,ABI
3/08/2016,98,ABE
3/08/2015,73,ABE
3/08/2013,5,HOU
3/07/2017,58,ABE
3/07/2014,31,ABI
3/06/2017,5,ABE
3/06/2016,46,ABE
3/06/2015,87,ABI
3/06/2014,51,ABE
3/06/2013,2,ABI
3/05/2017,79,ABE
3/05/2016,79,ABE
3/05/2014,30,ABE
3/05/2013,1,DAB
3/04/2017,90,ABE
3/04/2016,1,DTW
3/04/2015,68,ABI
3/04/2014,43,ABI
3/03/2017,57,ABI
3/03/2016,80,ABE
3/03/2015,79,ABE
3/03/2014,17,ABE
3/02/2017,62,ABI
3/02/2016,66,ABE
3/02/2015,85,ABE
3/02/2014,10,SAN
3/01/2017,59,LGB
3/01/2015,17,ABE
29/12/2016,62,ABI
29/12/2015,54,ABE
29/12/2014,78,ABE
29/11/2016,23,ABI
29/11/2014,22,ABE
29/11/2013,12,NULL
29/10/2016,15,ABI
29/10/2015,93,ABE
29/10/2014,104,ABE
29/10/2013,20,MDT
29/09/2016,89,ABE
29/09/2015,77,ABE
29/09/2014,61,ABE
29/08/2016,71,ABE
29/08/2015,9,JNU
29/08/2014,49,CMX
29/08/2013,3,DFW
29/07/2017,21,ABE
29/07/2016,36,PIT
29/07/2015,94,ABE
29/07/2014,57,ABI
29/06/2017,118,ABE
29/06/2016,93,ABI
29/06/2015,86,ABE
29/06/2013,1,DFW
29/05/2016,19,ATW
29/05/2015,76,ABE
29/05/2014,66,ABI
29/05/2013,2,DAY
29/04/2017,4,IND
29/04/2016,48,PPG
29/04/2015,108,ABE
29/04/2014,42,MAF
29/03/2017,87,ABE
29/03/2016,71,FAI
29/03/2015,8,FAY
29/03/2014,9,OAK
29/02/2016,79,XNA
29/01/2017,2,STL
29/01/2016,49,CMH
29/01/2015,93,ABE
29/01/2014,25,ABI
28/12/2016,83,BOI
28/12/2015,63,ABE
28/12/2013,8,ACY
28/11/2016,64,ABI
28/11/2014,52,ABI
28/10/2016,67,ABI
28/10/2015,85,ABI
28/10/2014,94,ABE
28/10/2013,5,ECP
28/09/2016,94,ABE
28/09/2015,66,ABE
28/09/2014,1,DAB
28/09/2013,1,LBE
28/08/2015,41,LFT
28/08/2014,70,ABE
28/08/2013,3,CSG
28/07/2017,63,ABE
28/07/2016,94,ABE
28/07/2015,88,ABI
28/07/2014,43,BFL
28/06/2017,87,ABE
28/06/2016,72,ABI
28/06/2015,2,LEX
28/06/2014,20,RDD
28/06/2013,1,GRK
28/05/2016,24,FCA
28/05/2015,104,HNL
28/05/2014,49,ABE
28/05/2013,5,NULL
28/04/2017,34,SFO
28/04/2016,64,ABI
28/04/2015,120,ABE
28/04/2014,35,ABE
28/03/2017,85,ABI
28/03/2016,49,GUM
28/03/2015,25,ABE
28/03/2014,17,TXK
28/02/2017,76,ABE
28/02/2016,6,DLH
28/02/2015,8,DAB
28/02/2014,18,PIA
28/02/2013,1,NULL
28/01/2017,12,ADK
28/01/2016,82,ABE
28/01/2015,72,ERI
28/01/2014,20,ABI
27/12/2016,67,ERI
27/12/2014,12,ABI
27/12/2013,9,VEL
27/11/2015,31,ABE
27/11/2013,15,CLL
27/10/2016,89,ABE
27/10/2015,77,ABE
