user,bookmarks,county,state,grams,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,cal_n,cal_fat_n,carbs_n,col_n,fat_n,fiber_n,protein_n,sodium_n,sugar_n,saturated_fat_n,carbs_w,fat_w,fiber_w,protein_w,sodium_w,sugar_w,saturated_fat_w,diabetis,obese
6,66,Union, Oregon,285.9242424,182.6717164,131.6363636,0.046469697,2.237878788,0.471242424,26.36060606,14.62272727,12.75909091,10.83484848,200.2644575,86.84357746,22.5830219,0.02624213,9.641285924,1.221901953,6.344340519,0.277179177,11.51453046,3.387370483,43.70944828,41.04169199,0.266414141,15.24885974,0.056100289,21.94925003,14.9126104,9.6,27.1
4,84,Union, Pennsylvania,348.6904762,173.1304081,165.2857143,0.062583333,1.879761905,0.386833333,35.57619048,18.35833333,11.21428571,19.1547619,256.1672359,116.3253362,30.81895979,0.040180691,12.91635887,1.078582318,5.477919,0.240874345,20.76647413,6.058378035,44.87682958,43.67413554,0.223781179,11.44903488,0.046051587,25.96365072,18.97713364,10,29.4
1,347,Union, South Carolina,249.0317003,215.5667485,100.1815562,0.017391931,3.991930836,0.489870317,29.74092219,11.13025937,8.80259366,6.411815562,142.1589845,63.35715294,16.20265052,0.009198407,7.039754579,2.087675764,4.405666874,0.286655624,3.906130427,1.997965917,49.00674693,37.97201818,0.475229861,13.0212349,0.058317895,13.28729886,11.04495648,15.1,36.8
2,43,Union, South Dakota,320.2790698,196.3226958,153.6046512,0.049372093,1.78372093,0.552418605,29.09767442,17.07209302,12.64418605,11.85581395,252.7816779,122.772617,26.41131471,0.030370521,13.65438086,1.236684304,6.228005034,0.301393229,13.79208884,4.492233152,40.61649997,45.07503485,0.21234773,14.30846518,0.06576412,18.66577246,14.96975893,9.5,30.5
1,6,Upshur, Texas,430,221.7791951,255.6666667,0.079333333,1.966666667,0.487166667,26.2,28.38333333,17.81666667,10.13333333,226.5586248,122.6313608,20.7599537,0.033704127,13.60474129,1.06954571,5.832580195,0.231582189,8.92620348,5.104570263,29.71916735,58.34174652,0.234126984,11.93908612,0.057996032,12.02179113,21.33404258,11.9,32.4
5,112,Upshur, West Virginia,295.2767857,211.054321,146.4285714,0.055241071,2.296428571,0.489276786,23.85714286,16.26160714,14.37678571,9.663392857,195.1975465,102.4546595,17.58697429,0.028261947,11.34695836,1.068200903,6.402876789,0.284474845,8.717956813,3.450545535,38.79297137,44.54991102,0.273384354,16.65711761,0.058247236,18.37196558,14.39365813,12.6,36.2
4,100,Upson, Georgia,338.48,197.520917,156.3,0.05778,1.869,0.65258,30.014,17.366,16.006,13.532,227.5335886,110.4809753,22.27507484,0.031305696,12.27162409,1.071526592,7.523411416,0.369104404,11.83611865,4.276041397,38.24305112,44.61716049,0.2225,17.13978839,0.077688095,19.04263697,16.02408058,12.7,34.1
97,2158,Utah, Utah,327.242354,211.0208234,148.7354032,0.0588962,2.56107507,0.589417053,30.32951807,16.52562558,14.92048193,11.23276182,200.7848861,93.56782677,20.58417465,0.03178825,10.3906074,1.40160688,6.943988393,0.332915895,9.3252356,3.972105377,40.35380841,42.4904779,0.304889889,17.1557137,0.070168697,16.33278117,15.92611734,5.7,23.2
1,10,Uvalde, Texas,344.5,145.098995,167.5,0.0681,0.97,0.416,37.34,18.62,8.98,21.67,281.4699961,139.2299266,32.4072123,0.049752536,15.46103698,1.038761094,5.444208149,0.26722782,22.19305742,7.501938373,41.70510023,47.67461183,0.11547619,10.62028794,0.04952381,25.99290932,23.0492516,10.8,31.2
4,60,Val Verde, Texas,377.3666667,223.5106574,169.4,0.074183333,2.08,0.806983333,35.47333333,18.82,16.91833333,14.91666667,225.0527016,97.93752619,24.76454342,0.04094024,10.8819,1.11441938,7.612498402,0.347284584,11.7053985,4.619814148,40.63918545,42.72617391,0.247619048,16.63464064,0.096069444,17.2260873,17.41050267,9.3,28.8
